X,Y,OBJECTID,Main_Categ,Sub_Catego,Company_Na,Address,City,State,ZIP_Code,County,SNAP_Acc
-76.7127989999394,38.9433290003138,289,Supermarket,Club,BJs Wholesale Club 132,16520 Ballpark Rd,Bowie,MD,20716,Prince Georges,Yes
-77.797592000154,39.650909000284,290,Convenience Store,Discount,Dollar General 22157,16525 National Pike,Hagerstown,MD,21740,Washington,Yes
-76.6480180002366,39.3077429999235,291,Small Grocery/Corner Store, ,Gordon's Cut Rate,1655 N Monroe St,Baltimore,MD,21217,Baltimore City,Yes
-76.7408069999561,39.3110309999982,292,Small Grocery/Corner Store, ,Zaytoon Grocers Halal Meat,1658 Whitehead Ct,Gwynn Oak,MD,21207,Baltimore,Yes
-77.7222900001155,39.6390879999243,293,Small Grocery/Corner Store, ,Penny Mart,167 S Potomac St,Hagerstown,MD,21740,Washington,Yes
-77.1481859995979,39.1307529997092,294,Convenience Store,Pharmacy,CVS Pharmacy 1504,16751 Redland Rd,Derwood,MD,20855,Montgomery,Yes
-76.8822329999118,38.8160099996666,295,Small Grocery/Corner Store, ,Andrews AFB Commissary 2402,1684 Starkey Ave,JB Andrews,MD,20762,Prince Georges,Yes
-76.7120509997518,39.2995109997473,296,Small Grocery/Corner Store, ,Speedy Mart,1697 N Forest Park Ave,Gwynn Oak,MD,21207,Baltimore,Yes
-77.7180479999354,39.6426660002419,297,Small Grocery/Corner Store, ,ECONOMY PRODUCE,17 E Franklin St,Hagerstown,MD,21740,Washington,Yes
-76.5937119999403,39.3152770003379,298,Small Grocery/Corner Store, ,Cliftview Market,1700 Cliftview Ave,Baltimore,MD,21213,Baltimore City,Yes
-77.7611690002723,39.6315379998143,299,Supermarket,Club,Sam's Club 8193,1700 Wesel Blvd,Hagerstown,MD,21740,Washington,Yes
-76.5830840003728,39.3667139998136,300,Convenience Store,Discount,Dollar Tree 7629,1700B E Northern Pkwy,Baltimore,MD,21239,Baltimore City,Yes
-76.6450649998441,39.3087160002841,301,Small Grocery/Corner Store, ,Joy Market,1701 Westwood Ave,Baltimore,MD,21217,Baltimore City,Yes
-76.6438289997598,39.3082279997469,302,Small Grocery/Corner Store, ,One Stop Grocery,1702 N Calhoun St,Baltimore,MD,21217,Baltimore City,Yes
-76.5627370001857,39.3959470001985,303,Small Grocery/Corner Store, ,Yakona Mart 1,1702 Yakona Rd,Parkville,MD,21234,Baltimore,Yes
-76.5606159996465,39.3815349997436,304,Small Grocery/Corner Store, ,Damaskino,1704 Taylor Ave,Parkville,MD,21234,Baltimore,Yes
-76.6441269996857,39.288208000331,305,Small Grocery/Corner Store, ,Belvedere Convenience Store Llc,1705 W Baltimore St,Baltimore,MD,21223,Baltimore City,Yes
-76.6337510000133,39.2561259999972,306,Small Grocery/Corner Store, ,Cherry Hill Convenience And Carryout,1710 Cherry Hill Rd,Baltimore,MD,21230,Baltimore City,Yes
-76.6328279999235,39.1424670001661,307,Convenience Store,Discount,DOLLARTREE 8739,1712 Crain Hwy S,Glen Burnie,MD,21061,Anne Arundel,Yes
-77.7728270000597,39.6215249997393,308,Supermarket, ,Target Stores 1257,17213 Cole Rd,Hagerstown,MD,21740,Washington,Yes
-77.7720179997727,39.6160050000166,309,Convenience Store,Discount,DOLLAR GENERAL 8664,17213 Virginia Ave,Hagerstown,MD,21740,Washington,Yes
-76.6453929999072,39.3055110001547,310,Small Grocery/Corner Store, ,M&s Tobacco And Grocery,1722 Presstman St,Baltimore,MD,21217,Baltimore City,Yes
-76.6446609996131,39.2827380001753,311,Small Grocery/Corner Store, ,Wilkens Market,1722 Wilkens Ave,Baltimore,MD,21223,Baltimore City,Yes
-76.739830000338,39.3161510000281,312,Small Grocery/Corner Store, ,Al Wahid Foods,1724 Woodlawn Dr Ste 36,Gwynn Oak,MD,21207,Baltimore,Yes
-76.5308379996181,39.2732700001336,313,Convenience Store,Discount,DOLLARTREE 5736,1725 Dundalk Ave,Dundalk,MD,21222,Baltimore City,Yes
-76.63537600026,39.3041530002096,314,Small Grocery/Corner Store, ,Food City Mart,1733 Pennsylvania Ave,Baltimore,MD,21217,Baltimore City,Yes
-76.5196529996587,39.3294110001724,315,Convenience Store,Discount,Dollar Tree 860,1737 Chesaco Ave,Rosedale,MD,21237,Baltimore,Yes
-76.7328029999948,39.383754999713,316,Supermarket, ,Target Stores 1541,1737 Reisterstown Rd,Pikesville,MD,21208,Baltimore,Yes
-76.6323929997303,39.3065260002589,317,Small Grocery/Corner Store, ,Johnson's Grocery,1741 McCulloh St,Baltimore,MD,21217,Baltimore City,Yes
-76.8535229997382,38.8669700001137,318,Supermarket, ,ALDI 71057,1741 Ritchie Station Ct,Capitol Heights,MD,20743,Prince Georges,Yes
-77.7569050003508,39.620971999776,319,Small Grocery/Corner Store, ,Jasmin Grocery & Halal Meat Llc,17603 Virginia Ave,Hagerstown,MD,21740,Washington,Yes
-76.5044099996422,39.2682190003034,320,Convenience Store,Discount,Dollar Tree 3531,1762 Merritt Blvd,Dundalk,MD,21222,Baltimore,Yes
-76.5206300001752,39.3296199999503,321,Convenience Store,Discount,Family Dollar 11853,1763 Chesaco Ave,Baltimore,MD,21237,Baltimore,Yes
-76.8503650002047,38.8666840000686,322,Convenience Store,Discount,Dollar Tree 5313,1771 Ritchie Station Ct,Capitol Heights,MD,20743,Prince Georges,Yes
-77.7542110004244,39.6215170001204,323,Small Grocery/Corner Store, ,Lims Makola International Market,17715 Virginia Ave Ste 5,Hagerstown,MD,21740,Washington,Yes
-77.7547529998494,39.6216929998252,324,Small Grocery/Corner Store, ,All African Nations Market N/A,17715 Virginia Ave Unit 5,Hagerstown,MD,21740,Washington,Yes
-77.7514570002236,39.6545909997139,325,Convenience Store,Discount,Dollar Tree 1708,17752 Garland Groh Blvd,Hagerstown,MD,21740,Washington,Yes
